title,features,description,price,average_rating,rating_number,itemId,all_reviews_text,metadata_text_count,has_review_text
Amazon.com Gift Card in Various Gift Boxes,"['Gift Card is affixed inside a gift box', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']",[],25.0,4.9,104005,9,"Great gift for online shoppers! [SEP] I bought this for a Christmas gift.The recipient really liked it. [SEP] Good Product [SEP] Those who already have everything, they can buy an audible book, an old rerun of a favorite movie, some little thing they may want, or whatever as a gift for any occasion. I recommend. [SEP] What can you say about a gift card. Everyone loves them [SEP] Looks nice and love the simple little black box. Arrived quick too; in 36 hours or so. I love giving Amazon gift cards. It's so much nicer to be able to hand someone a little gift box over an envelope, anyday. [SEP] Gift [SEP] Loved the gift box included. Shipped quickly. Great gift! [SEP] The box is great - my little sister now stores all her gift cards in it. If I purchase more amazon gift cards in the future, I will probably get the same one. [SEP] Very nice box",3,True
Red Robin Gift Card,"['Red Robin. Yummm.', 'Red Robin Gourmet Burgers, Inc., is a casual dining restaurant chain famous for serving gourmet burgers with Bottomless Steak Fries, and signature Mad Mixology Beverages.', 'There are 460+ Red Robin restaurants located across the United States.', 'No returns and no refunds on gift cards.']","['Red Robin Gourmet Burgers, Inc., is a casual dining restaurant chain specializing in over two dozen different types of delicious gourmet burgers. Red Robin also has a large selection of appetizers, side dishes, salads, desserts and its signature Mad Mixology specialty beverages. Red Robin Gift Cards are redeemable at 400+ Red Robin restaurants located across the United States including corporate-owned locations.']",25.0,4.8,3543,65,"Great last minute gift! [SEP] rather than give them a Visa gift card or an Amazon gift card, this year I am mixing it up - food, movies and more. They will be thrilled. [SEP] Superb never a hassle always easy to use great gift [SEP] great food!! [SEP] We have a 3 year old and 2 week old, so meals out of the house don’t happen often. I treated my husband to Red Robin for his birthday and everyone loved it! [SEP] Quick and easy way to get a gift card without having to pop out to the store.  An always appreciated gift.  I do wish there were more options in amount. [SEP] Arrived on time. Was the perfect gift. [SEP] easy gift [SEP] Always a great gift idea and delivered right to your door!! [SEP] love it",3,True
Amazon.com Gift Card in a Holiday Gift Box (Various Designs),"['Gift Card is affixed inside a box', 'Gift amount may not be printed on Gift Cards', 'You can customize the gift amount as desired, for example $36, $54, $72, etc.', 'Gift Card has no fees and no expiration date', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']",[],25.0,4.9,185606,3,"The tin is a nice touch and pretty large.  It's about 4&#34; in diameter and about 1/2&#34; thick.  I added a pretty red ribbon and it is perfect.  Who doesn't love shopping on Amazon? Arrived quickly, I have Prime... but I think they ship the gift cards out SUPER fast... like over night. In case you need it for a FAST gift. [SEP] That snowman tin is adorable [SEP] Super cute nice quality tin<br />Your choose amount [SEP] They love it !! [SEP] Perfect for Christmas [SEP] So cool you can get a free tin with the gift card and it comes in 24 hours!! Super awesome. Last year I just printed off the gift cards which looked kind of cheap even though the cards were for substantial amounts. Highly recommend. [SEP] So gift card for certain sum.  No service fee.  Lively metal gift box - yes..... I said metal.  What is not to love about this???!<br /><br />Well done Amazon.  Well done. [SEP] The recipient can choose what they want so the giver has less chance of a mistake. [SEP] Great holder for gift cards [SEP] Sent in a lovely container",3,True
Amazon.com Gift Card in a Plaid Gift Box (Amazon Kindle Card Design),"['Gift Card is nested inside a specialty gift box', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside a tin Gift Box.""]",,4.9,753,95,"Bought it as a gift, The recipient loved it. [SEP] Great for gifts [SEP] Yes, it's just a gift card, but the 'presentation' of the card in a nice gift box (at no extra cost) makes it a much nicer gift. I do wish it did not have the window in the bottom of the box, because that makes it easy to see what the gift is. [SEP] I bought this for my sister-in-law, someone who is very difficult to shop for since she has everything. She travels a lot for work and spends a lot of her time at airports. This was a perfect gift for her to purchase books on her kindle (keeps her entertained at the airport). Comes in a nice gift box with red ribbon bow. [SEP] Shipped fast. [SEP] Arrived the next day abd was perfect for giving [SEP] i am always happy with amazon gift cards.  I just need someone to remember me with a few!  the gift boxes are very nice. [SEP] Always love amazon gift cards. [SEP] the card will make a great present to my sister. the only thing wrong that gave this the four instead of five star rating was the &#34;personalized gift card&#34; they said they were going to send. what they did was print my message on the receipt. that got bent up in the envelope they sent it in. i am glad i didn't pay for it or this could be a one star [SEP] great",3,True
American Eagle Gift Card,"['Redemption: Instore and Online', 'No returns and no refunds on gift cards.']","['AE Gift Cards are always the perfect gift! AE offers high-quality, on-trend clothing, accessories and personal care products at affordable prices.']",25.0,4.9,6675,158,Made my kid happy!! [SEP] fast delivery and card worked [SEP] Good gift [SEP] It’s a gift card. [SEP] Safe gift cards and had all the money on it. People love gift cards for Xmas and I had to use my amazon card to do shopping as I was not exactly rich. It was very helpful to be able to get it and have it mailed to your door! [SEP] gift [SEP] Ok [SEP] good gift [SEP] Item came loaded and ready to use. Item as described. [SEP] The Actual card came detached from the cardboard.  Old glue maybe?,3,True
Barnes & Noble Gift Card,"['Redemption: Instore and Online', 'No returns and no refunds on gift cards.']","['Choose from an incredible selection of books, NOOK Books, toys, games, music, and movies. Can also be redeemed for NOOK devices and accessories.']",50.0,4.9,3151,204,"It is a gift card to Bnad N,  It worked and that was all that was important. [SEP] See title^^ [SEP] I give these to school age and under children in the family.  I'm a retired librarian and want to continue to encourage reading- although I don't care if they use it for something else like toys.  I think they look forward to their $50 cards post Christmas. [SEP] It's a physical gift card, so it's very convenient to be able to buy it and have it delivered to you. It arrives quick, and there are no activation issues. I bought it as a present for a friend that loves to go to the store. [SEP] Good gift idea [SEP] Came timely and easy way to purchase for a gift. [SEP] No problem activating the card [SEP] recipient loved it [SEP] Who wouldn't love a Barnes and Nobles gift card. I purchased this as a gift that way people in my life can get what they want [SEP] The perfect birthday gift for my brother. This is one I always give to him",3,True
Arby's Gift Card,"[""The card can be redeemed at any Arby's location for any product other than another gift card."", 'Redemption: Instore', 'No returns and no refunds on gift cards.']","['The Arby’s brand purpose is“Inspiring Smiles Through Delicious Experiences™.” Arby’sdelivers on its purpose by celebrating the art of Meatcraft with a variety of high-quality proteins paired with craveablesides, such as Curly Fries and Jamocha shakes.']",50.0,4.8,1854,223,"As described [SEP] Huge package for a single business sized card. [SEP] Easy purchase.<br />Easy to use! [SEP] Arby's giftcard is the best for my son. He enjoys the giftcards. [SEP] Good it worked [SEP] Handy [SEP] I mean, if you can't personally deliver one of Arby's's delicious sandwiches, this is the best option... [SEP] Tasty fast food and now their cheesesteak sandwich has me hooked [SEP] Fine [SEP] I got this as a last min gift for someone who is impossible to buy for, but likes the meats. Arbys does have some arguably good Roast Beef sammies.",3,True
Amazon.com Gift Card in a Yellow Swirl Box,"['Gift Card is affixed inside a gift box', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",25.0,4.9,8718,100,"Very well presented. I was looking for a card that was well presented but did not reflect a specific holiday. ( As you have to be more careful these days ). These Amazon gift cards are very handy to give as gifts due to the diverse nature of products Amazon offers. Certainly your recipient can find something he / she will like to order when you don't know what to buy them. Card came in pretty gift box with bow and was shrinked in plastic. [SEP] Pretty box for gift! [SEP] Lovely and practical gift for a young woman who I know who just graduated with honors. [SEP] Great gift for bridal shower at work! [SEP] Convenient purchase. [SEP] My recipient almost did not recognize that gift card was inside! Might put  a note ""Be sure to open box""!  Well made and very attractive. [SEP] Perfect gift. Color matches my yellow sunflower themed party. Using this as a raffle prize. It is smaller than I thought it would be however. See my photo for comparison. [SEP] Great gift and cute and durable box [SEP] Packaged beautifully [SEP] Super cute. Loved the color for a gender neutral baby shower. If I received this as a gift I would definitely reuse the box for a future gift card gift.",3,True
Amazon.com Gift Card in a Mini Envelope,"['Gift Card is affixed inside a mini envelope', 'Gift Envelope opens up flat to display the gift card in the center', 'Gift Card has no fees and no expiration date', 'Gift amount may not be printed on Gift Cards', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",10.0,4.9,105948,5,"So many people<br />Make your life better so remember them! [SEP] Perfect! Arrived just when stated! [SEP] Have given as Holiday, Birthday & Other Occasions remembrances. Always appreciated by the person receiving. [SEP] A great way to give a gift to family members in physical form. It was so convenient. [SEP] Who would not like an Amazon Gift Card?  Makes everyone I give them, happy! [SEP] Great [SEP] The perfect small gift!!! Who wouldn't want an Amazon gift card. Seriously? [SEP] Works great to spend [SEP] A good starter gift for someone new to subscription services! [SEP] great packaging for Christmas or any holiday during that time of year",3,True
Amazon.com Gift Card in a Gift Bag,"['Gift Card is affixed inside a gift bag', 'Gift amount may not be printed on Gift Cards', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",50.0,4.9,8929,199,"Who wouldn't use an Amazon gift card??? But it also came with a cute gift bag. [SEP] I bought several of these and they make giving a gift card even easier, if that is possible! [SEP] Who doesn't want a gift card for Christmas? [SEP] Very nice [SEP] Always my go to gift. Family can purchase what they need and have it delivered right to their door [SEP] It’s incredible so lovely, my wife loved it, it’s so cute and elegant [SEP] This is a lovely way to present a gift card for a baby shower. Very cute! [SEP] Love the gift box idea, much pretty than just gift card tag design [SEP] just a gift card [SEP] Will definitely get this again.",3,True
Amazon.com Gift Card for any amount in a Tree Globe Photo Frame Gift Box,"['Gift Card is nested inside a specialty gift box', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift amount may not be printed on Gift Cards', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']",[],50.0,4.9,815,206,Sent quickly and in great shape.  I know she will be happy with this gift. [SEP] A fun gift card for my daughter.  A great change for the Amazon gift card at the grocery store. [SEP] Perfect and cute last minute gifts! Its a card and gift card all in one! Had these as backup gifts for Xmas time in case we missed anyone in our list. Thank you Amazon! [SEP] Amazon gift cards are the best!! I like giving them and love receiving them!! [SEP] Bought a gift card. Cute packaging for a teenager as a Christmas gift. [SEP] Love the free box with the gift cards. [SEP] The packaging was so cute on this gift card. [SEP] Xmas gifts for grandkids that live far away [SEP] The packaging for the gift card is awesome. Makes it a lot better as a gift for people who it's hard to buy for and prefer money/giftcards. [SEP] The gift box was absolutkey loved it.  I went back to get another one and were all sold out.,3,True
Build-A-Bear Gift Card,"['Give the furry fun of making a stuffed animal friend.', 'Over 325 stores worldwide. Visit us online \xa0to find a store near you.', 'Retail stores located nationwide except in North Dakota, South Dakota, Vermont, and Wyoming.', 'No returns and no refunds on gift cards.']","['Give the furry fun of making a stuffed animal friend. Each new friend can be brought to life online for FREE, our online world stuffed with fun to play together and get pawsome virtual stuff! Animals start at only $10. Over 325 stores worldwide.']",50.0,4.9,3702,303,Not too much to say. It's a gift card and it worked nicely at BAB. I purchased it at a discount during a lightning deal. [SEP] The gift card was delivered on time and had the proper amount on it. [SEP] gift [SEP] Great! [SEP] Got 2 cute starwars bears for the boys with this card - awesome [SEP] This is just a great deal when its on the lightening deal for $40.  I wish we could buy more than one when that happens.  But it’s a great gift for kids. [SEP] Niece and nephews loved [SEP] This gift card was a Christmas present for my niece. Received it within two days. [SEP] Good product! [SEP] Excited to build his bear!,3,True
Amazon.com Gift Card in a Gift Box (Various Thank You Designs),"['Gift Card is nested inside a specialty gift box', 'Gift Card has no fees and no expiration date', 'No returns and no refunds on Gift Cards', 'Gift amount may not be printed on Gift Cards', 'Gift Card is redeemable towards millions of items storewide at Amazon.com', 'Scan and redeem any Gift Card with a mobile or tablet device via the Amazon App', 'Free One-Day Shipping (where available)', 'Customized gift message, if chosen at check-out, only appears on packing slip and not on the actual gift card or carrier']","[""Amazon.com Gift Cards are the perfect way to give them exactly what they're hoping for - even if you don't know what it is. Amazon.com Gift Cards are redeemable for millions of items across Amazon.com. Item delivered is a single physical Amazon.com Gift Card nested inside or with a free gift accessory.""]",25.0,4.9,4918,2,"When you have a person who is hard to shop for.. an amazon gift card is P E R F E C T.  Man or woman...  No matter what their hobby... lifestyle.. or age.  All you have to do is pick the $.  Don't forget to mention that it is a GIFT when you check out - you will have some gift card options.  I've ordered many of these over years.  They are always received with glee.  Woo hoo!  If you're looking for a great fit for me - this is just my size!  :)  Best to all! [SEP] Love the gift box. So much j NB icee than just handing a gift card to the grandkids. [SEP] This box is cute as heck. Who doesn't want an Amazon gift card in a tiny box? Its adorable and the recipient loved it. [SEP] Love, love love ❤️ [SEP] I received an Amazon gift card as a gift and was pleased to learn how simple and easy it was to add it to my Amazon account.  The gift card can be used anywhere on the Amazon site.  I highly recommend this item. [SEP] The Amazon Gift Cards are great and fun. I would have rated it 5 Stars exept for one thing. They cover whatever comes up in your account next. I was given a $75 card as a gift to by Kindle books.  I also have an auto mmontly shipment of coffee (auto paid by credit card). The gift card was applied to the coffee and when I ordered abot $30 worth of books the gift card was gone and I ended up buying books at cost by cc.  I would not have bought all those books if I thought the gift card was used.  I realize the net cash was the same but I found it annoying. [SEP] I was lucky to receive a gift card for Christmas.  Since I also got a new Kindle Touch, the gift was perfect.  I love to read and happily spent my gift card quickly lining up good reads on my kindle.  But the great thing about a gift card is you're not limited to just books.  An Amazon gift card tops my wish list.<br /><br />C Ward [SEP] I chose two board games, Stone Age and Small World. They arrived promptly and we played both this weekend. A great deal of fun! [SEP] While the gift was perfect for the recipient, its delivery was poorly executed.  The delivery date was postponed 24 hours, which was after the date it was needed - and promised.  And I'm a Prime member.  First time for everything, I guess. [SEP] Mini amazon box. Enough said.",3,True
